file_path,title,artist,album,genre,year,length
C:\Users\marius\Desktop\Musik\00er\Far East Movement - Like A G6.mp3,Like A G6,Far East Movement,Free Wired,,2010,216.89333333333335
C:\Users\marius\Desktop\Musik\00er\Fergie - A Little Party Never Killed Nobody (All We Got).mp3,A Little Party Never Killed Nobody (All We Got),Fergie,Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version),,2013,241.30666666666667
C:\Users\marius\Desktop\Musik\00er\Flo Rida - Club Can-'t Handle Me (feat. David Guetta).mp3,Club Can't Handle Me (feat. David Guetta),Flo Rida,Only One Flo (Part 1),,2010,234.56
C:\Users\marius\Desktop\Musik\00er\Flo Rida - Good Feeling.mp3,Good Feeling,Flo Rida,Wild Ones,,2011,248.13333333333333
C:\Users\marius\Desktop\Musik\00er\Flo Rida - I Cry.mp3,I Cry,Flo Rida,Wild Ones,,2012,223.8
C:\Users\marius\Desktop\Musik\00er\Flo Rida - In the Ayer (feat. will.I.am).mp3,In the Ayer (feat. will.I.am),Flo Rida,Mail on Sunday,,2008,220.50666666666666
C:\Users\marius\Desktop\Musik\00er\Flo Rida - Low (feat. T-Pain).mp3,Low (feat. T-Pain),Flo Rida,Low (feat. T-Pain),,2008,231.4
C:\Users\marius\Desktop\Musik\00er\Flo Rida - Right Round.mp3,Right Round,Flo Rida,R.O.O.T.S. (Route of Overcoming the Struggle),,2009,204.64
"C:\Users\marius\Desktop\Musik\00er\Flo Rida - Turn Around (5,4,3,2,1).mp3","Turn Around (5,4,3,2,1)",Flo Rida,Only One Flo (Part 1),,2010,201.38666666666666
C:\Users\marius\Desktop\Musik\00er\Flo Rida - Whistle.mp3,Whistle,Flo Rida,Whistle,,2012,224.65333333333334
C:\Users\marius\Desktop\Musik\00er\Flo Rida - Wild Ones (feat. Sia).mp3,Wild Ones (feat. Sia),Flo Rida,Wild Ones (feat. Sia),,2011,234.08
C:\Users\marius\Desktop\Musik\00er\Fort Minor - Remember the Name (feat. Styles of Beyond).mp3,Remember the Name (feat. Styles of Beyond),Fort Minor,Petrified / Remember the Name,,2005,230.49333333333334
C:\Users\marius\Desktop\Musik\00er\Guru Josh Project - Infinity 2008.mp3,Infinity 2008,Guru Josh Project,Infinity 2008,,2008,389.287641723356
C:\Users\marius\Desktop\Musik\00er\Gwen Stefani - Hollaback Girl.mp3,Hollaback Girl,Gwen Stefani,Love Angel Music Baby,,2004,199.85333333333332
C:\Users\marius\Desktop\Musik\00er\Iyaz - Replay.mp3,Replay,Iyaz,Replay,,2010,182.30666666666667
C:\Users\marius\Desktop\Musik\00er\Jason Derulo - Breathing.mp3,Breathing,Jason Derulo,Future History (Deluxe Edition),,2011,234.05333333333334
C:\Users\marius\Desktop\Musik\00er\Jason Derulo - Don-'t Wanna Go Home.mp3,Don't Wanna Go Home,Jason Derulo,Don't Wanna Go Home,,2011,206.08
C:\Users\marius\Desktop\Musik\00er\Jason Derulo - Talk Dirty (feat. 2 Chainz).mp3,Talk Dirty (feat. 2 Chainz),Jason Derulo/2 Chainz,Talk Dirty (feat. 2 Chainz),Поп,2013-08-02,177.6854195011338
C:\Users\marius\Desktop\Musik\00er\Jason Derulo - Whatcha Say.mp3,Whatcha Say,Jason Derulo,Jason Derulo (International),,2009,221.25333333333333
C:\Users\marius\Desktop\Musik\00er\Jay Sean - Down.mp3,Down,Jay Sean,Down ( Version),,2009,212.28
C:\Users\marius\Desktop\Musik\00er\JAY Z - Numb - Encore.mp3,Numb / Encore,JAY Z,Collision Course (Deluxe Version),,2004,205.28
C:\Users\marius\Desktop\Musik\00er\Kanye West - Gold Digger.mp3,Gold Digger,Kanye West,Late Registration,,2005,207.62666666666667
C:\Users\marius\Desktop\Musik\00er\Kanye West - Good Life.mp3,Good Life,Kanye West,Graduation,,2007,207.0
C:\Users\marius\Desktop\Musik\00er\Katy Perry - California Gurls.mp3,California Gurls,Katy Perry,Teenage Dream,,2010,234.65333333333334
C:\Users\marius\Desktop\Musik\00er\Katy Perry - Firework.mp3,Firework,Katy Perry,Teenage Dream,,2010,227.91836734693877
C:\Users\marius\Desktop\Musik\00er\Katy Perry - Teenage Dream.mp3,Teenage Dream,Katy Perry,Teenage Dream: The Complete Confection,,2010,227.76
