file_path,title,artist,album,genre,year,length
C:\Users\marius\Desktop\Musik\alter stuff\Tove Lo - Habits (Stay High).mp3,Habits (Stay High),Tove Lo,Queen Of The Clouds,Альтернативная музыка,2015-02-20,209.16
C:\Users\marius\Desktop\Musik\alter stuff\Tove Lo - Stay High (Habits Remix).mp3,Stay High (Habits Remix),Tove Lo,Back to the teens,"Rock, Pop",2020,258.2
C:\Users\marius\Desktop\Musik\BBoomer\a-ha - Take on Me.mp3,Take on Me,a-ha,Hunting High and Low,,1985,227.57333333333332
C:\Users\marius\Desktop\Musik\BBoomer\ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA Gold,,2008,289.2016326530612
C:\Users\marius\Desktop\Musik\BBoomer\ABBA - Mamma Mia.mp3,Mamma Mia,ABBA,ABBA Gold,,2013,210.96
C:\Users\marius\Desktop\Musik\BBoomer\ABBA - Super Trouper.mp3,Super Trouper,ABBA,ABBA Gold,Pop,2008-01-01,251.78666666666666
C:\Users\marius\Desktop\Musik\BBoomer\Alphaville - Big in Japan.mp3,Big in Japan,Alphaville,Forever Young,,1984,286.16
C:\Users\marius\Desktop\Musik\BBoomer\Alphaville - Forever Young.mp3,Forever Young,Alphaville,Forever Young,,1984,226.7064172335601
C:\Users\marius\Desktop\Musik\BBoomer\Bee Gees - Stayin-' Alive.mp3,Stayin' Alive,Bee Gees,Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),,2004,284.06666666666666
C:\Users\marius\Desktop\Musik\BBoomer\Bee_Gees_Night_Fever_From_Saturday_Night_Fever_Soundtrack.mp3,Night Fever,Bee Gees,Greatest,Pop,1979-01-01,212.25333333333333
C:\Users\marius\Desktop\Musik\BBoomer\Bob Dylan - Knockin-' On Heaven-'s Door.mp3,Knockin' On Heaven's Door,Bob Dylan,The Essential Bob Dylan,,2016,149.96
C:\Users\marius\Desktop\Musik\BBoomer\Bob Dylan - Like a Rolling Stone.mp3,Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,,2007,369.6
C:\Users\marius\Desktop\Musik\BBoomer\Boney M. - Daddy Cool.mp3,Daddy Cool,Boney M.,Take The Heat Off Me,Pop,2007-03-29,208.6
C:\Users\marius\Desktop\Musik\BBoomer\Boney M. - Rasputin.mp3,Rasputin,Boney M.,Nightflight to Venus,,2007,351.5733333333333
C:\Users\marius\Desktop\Musik\BBoomer\Boney M. - Rivers of Babylon.mp3,Rivers of Babylon,Boney M.,Nightflight to Venus,,2007,261.26666666666665
C:\Users\marius\Desktop\Musik\BBoomer\Boney M. - Sunny.mp3,Sunny,Boney M.,Take The Heat Off Me,,2007,242.24
C:\Users\marius\Desktop\Musik\BBoomer\Boudewijn de Groot - Avond.mp3,Avond,Boudewijn de Groot,Een Nieuwe Herfst,,1996,276.03591836734694
C:\Users\marius\Desktop\Musik\BBoomer\Bronski Beat - Smalltown Boy.mp3,Smalltown Boy,Bronski Beat,The Age of Consent,,1984,302.41333333333336
C:\Users\marius\Desktop\Musik\BBoomer\Carmen Twillie - Circle of Life.mp3,Circle of Life,Carmen Twillie,The Lion King,,2006,239.14666666666668
C:\Users\marius\Desktop\Musik\BBoomer\Cher - Believe.mp3,Believe,Cher,Believe,,1998,239.02666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Dancefloor Deluxe CD 1 TRACK 11 (320).mp3,Crying at the Discoteque (Radio Edit),Alcazar,Dancefloor Deluxe,Pop,2004-08-25,228.74666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Depeche Mode - Just Can-'t Get Enough.mp3,Just Can't Get Enough,Depeche Mode,"The Best of Depeche Mode, Vol. 1 (Deluxe)",,2006,220.88002267573697
C:\Users\marius\Desktop\Musik\BBoomer\Dexys Midnight Runners - Come On Eileen.mp3,Come On Eileen,Dexys Midnight Runners,Kids Sing Along Pac (International Version),Kids,2009-01-01,276.8718367346939
C:\Users\marius\Desktop\Musik\BBoomer\Die Toten Hosen - Kein Alkohol (Ist auch keine Lösung)!.mp3,Kein Alkohol (Ist auch keine Lösung)!,Die Toten Hosen,Auswärtsspiel (Deluxe-Edition mit Bonus-Tracks),Alternative & Indie Rock & Pop,2002-01-21,230.29551020408164
C:\Users\marius\Desktop\Musik\BBoomer\Die Toten Hosen - Tage wie diese.mp3,Tage wie diese,Die Toten Hosen,Tage wie diese,Rock,2012-12-23,268.4266666666667
C:\Users\marius\Desktop\Musik\BBoomer\Die Ärzte - Westerland.mp3,Westerland,Die Ärzte,Das Ist Nicht Die Ganze Wahrheit...,Альтернативная музыка/Инди-рок,1988-04-19,221.17333333333335
C:\Users\marius\Desktop\Musik\BBoomer\Dire Straits - Sultans Of Swing.mp3,Sultans Of Swing,Dire Straits,Dire Straits,,2005,348.6243990929705
C:\Users\marius\Desktop\Musik\BBoomer\Don McLean - American Pie.mp3,American Pie,Don McLean,American Pie (Expanded Edition),,2003,513.0
C:\Users\marius\Desktop\Musik\BBoomer\Dschinghis Khan - Moskau.mp3,Moskau,Dschinghis Khan,7 Leben,,2008,221.37333333333333
C:\Users\marius\Desktop\Musik\BBoomer\DöF - Codo (...düse im Sauseschritt).mp3,Codo (...düse im Sauseschritt),DöF,4 Hits - DÖF,,2003,265.05333333333334
C:\Users\marius\Desktop\Musik\BBoomer\EAV - Ba-Ba Banküberfall.mp3,Ba-Ba Banküberfall,EAV,Geld Oder Leben,,2003,216.26775
C:\Users\marius\Desktop\Musik\BBoomer\Elvis Presley - Jailhouse Rock.mp3,Jailhouse Rock,Elvis Presley,Jailhouse Rock,,2013,152.45333333333335
C:\Users\marius\Desktop\Musik\BBoomer\Enya - Orinoco Flow (Sail Away) (Single Version).mp3,Orinoco Flow (Sail Away),Enya,Orinoco Flow (Sail Away) (Single Version),Pop,1988-10-15,225.8808163265306
C:\Users\marius\Desktop\Musik\BBoomer\Erasure - A Little Respect.mp3,A Little Respect,Erasure,Always - The Very Best of Erasure,,2009,211.96
C:\Users\marius\Desktop\Musik\BBoomer\Eros Ramazzotti - La Cosa Mas Bella.mp3,La Cosa Mas Bella,Eros Ramazzotti,Donde Hay Música (Spanish Version),,1996,265.62666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Eros Ramazzotti - Più bella cosa.mp3,Più bella cosa,Eros Ramazzotti,Eros - Best Of,,2007,264.29333333333335
C:\Users\marius\Desktop\Musik\BBoomer\Eurythmics - Here Comes the Rain Again (Remastered Version).mp3,Here Comes the Rain Again,Eurythmics/ Annie Lennox/ Dave Stewart,Touch (Reissue - Deluxe Edition),Pop,2003-10-21,294.6351020408163
C:\Users\marius\Desktop\Musik\BBoomer\Falco - Der Kommissar.mp3,Der Kommissar,Falco,Einzelhaft 25th Anniversary Edition,Поп,2004-03-08,231.02693877551022
C:\Users\marius\Desktop\Musik\BBoomer\Falco - Jeanny.mp3,Jeanny,Falco,Falco 3,,2005,355.9890702947846
C:\Users\marius\Desktop\Musik\BBoomer\Falco - Out Of The Dark.mp3,Out Of The Dark,Falco,Essential,,2009,217.34666666666666
C:\Users\marius\Desktop\Musik\BBoomer\Falco - Rock Me Amadeus.mp3,Rock Me Amadeus,Falco,Falco 3,,2007,202.23637188208616
C:\Users\marius\Desktop\Musik\BBoomer\Geier Sturzflug - Bruttosozialprodukt.mp3,Bruttosozialprodukt,Geier Sturzflug,Meine Besten,,2008,181.629375
C:\Users\marius\Desktop\Musik\BBoomer\Geier Sturzflug - Pure Lust am Leben.mp3,Pure Lust am Leben,Geier Sturzflug,Best Of,Pop,2015-04-10,205.77333333333334
C:\Users\marius\Desktop\Musik\BBoomer\Genesis - I Can-'t Dance.mp3,I Can't Dance,Genesis,I Can't Dance / On the Shoreline,,2010,240.03918367346938
C:\Users\marius\Desktop\Musik\BBoomer\Genesis - Invisible Touch.mp3,Invisible Touch,Genesis,Invisible Touch (2007 Remaster),,2007,208.02666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Guus Meeuwis - Het Is Een Nacht... (Levensecht).mp3,Het Is Een Nacht... (Levensecht),"Guus Meeuwis, Vagant",Verbazing,Pop,2008-07-09,225.04
C:\Users\marius\Desktop\Musik\BBoomer\Harpo - Moviestar.mp3,Moviestar,Harpo,Moviestar,,2007,202.28
C:\Users\marius\Desktop\Musik\BBoomer\Herbert Grönemeyer - Bochum (Remastered 2016).mp3,Bochum (Remastered 2016),Herbert Grönemeyer,Bochum (Remastered 2016),Pop,2018-04-20,229.90367346938777
C:\Users\marius\Desktop\Musik\BBoomer\Herbert Grönemeyer - Flugzeuge im Bauch.mp3,Flugzeuge im Bauch,Herbert Grönemeyer,Was Muss Muss - Best Of,Поп,2008-11-21,234.32
C:\Users\marius\Desktop\Musik\BBoomer\Herbert Grönemeyer - Mambo.mp3,Mambo,Herbert Grönemeyer,Was Muss Muss - Best Of,Pop,2016-08-05,169.2
C:\Users\marius\Desktop\Musik\BBoomer\Herbert Grönemeyer - Männer.mp3,Männer,Herbert Grönemeyer,Was Muss Muss - Best Of,,2016,238.8
C:\Users\marius\Desktop\Musik\BBoomer\Hermes House Band - Que Sera Sera.mp3,Que Sera Sera,Hermes House Band,Greatest Hits No.1 Gold Selection,,2016,231.21333333333334
C:\Users\marius\Desktop\Musik\BBoomer\Inner Circle - Sweat (A La La La La Long).mp3,Sweat (A La La La La Long),Inner Circle,Blazzin' Fire,Reggae,2010-12-14,227.10857142857142
C:\Users\marius\Desktop\Musik\BBoomer\Joachim Witt - Goldener Reiter.mp3,Goldener Reiter,Joachim Witt,Das Beste,Pop,1998-10-26,279.8933333333333
C:\Users\marius\Desktop\Musik\BBoomer\Kim Wilde - Kids In America.mp3,Kids In America,Kim Wilde,Kim Wilde,,1992,205.58367346938775
C:\Users\marius\Desktop\Musik\BBoomer\Lionel Richie - All Night Long (All Night).mp3,All Night Long (All Night),Lionel Richie,Back To Front,,2007,258.6666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Markus - Ich will Spass.mp3,Ich will Spass,Markus,Die NDW Hits - Das beste aus 40 Jahren Hitparade,,2009-02-19,178.9942
C:\Users\marius\Desktop\Musik\BBoomer\Matthias Reim - Ich hab´ geträumt von Dir.mp3,Ich hab´ geträumt von Dir,Matthias Reim,Reim (Expanded Edition),,2010,203.82666666666665
C:\Users\marius\Desktop\Musik\BBoomer\Matthias Reim - Verdammt Ich lieb  dich.mp3,Verdammt Ich lieb' dich,Matthias Reim,Déjà Vu - Das Beste Von Matthias Reim,Pop,2004-01-01,217.73061224489797
C:\Users\marius\Desktop\Musik\BBoomer\Men at Work - Down Under.mp3,Down Under,Men at Work,The Best Of Men At Work: Contraband,,2002,220.86666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Michael Jackson - Beat It.mp3,Beat It,Michael Jackson,Thriller,,2008,258.4
C:\Users\marius\Desktop\Musik\BBoomer\Michael Jackson - Billie Jean.mp3,Billie Jean,Michael Jackson,Thriller,,2008,294.2266666666667
C:\Users\marius\Desktop\Musik\BBoomer\Michael Jackson - Smooth Criminal.mp3,Smooth Criminal,Michael Jackson,Bad (Remastered),,2012,257.76
C:\Users\marius\Desktop\Musik\BBoomer\Michael Sembello - Maniac (From  Flashdance ).mp3,Maniac,Michael Sembello,Soundtrack Smashes #1's,Pop,2007-01-01,247.74666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Mina - Heißer Sand.mp3,Heißer Sand,Mina,Nessuno,Pop,2016-10-21,178.99102040816325
C:\Users\marius\Desktop\Musik\BBoomer\Münchener_Freiheit_Ohne_Dich_schlaf'_ich_heut_Nacht_nicht_ein.mp3,Ohne Dich (schlaf' ich heut Nacht nicht ein),Münchener Freiheit,Schenk Mir Eine Nacht - Ihre Schönsten Lovesongs,Pop,1994-09-27,246.82666666666665
C:\Users\marius\Desktop\Musik\BBoomer\Neil Diamond - Sweet Caroline.mp3,Sweet Caroline,Neil Diamond,50th Anniversary Collection,Pop,2017-03-31,202.97333333333333
C:\Users\marius\Desktop\Musik\BBoomer\Nena - 99 Luftballons.mp3,99 Luftballons,Nena,99 Luftballons,,2007,232.46666666666667
"C:\Users\marius\Desktop\Musik\BBoomer\Nena - Irgendwie, irgendwo, irgendwann.mp3","Irgendwie, irgendwo, irgendwann",Nena,Die Hit Giganten Best Of Mallorca Hits,Schlager & Volksmusik,2019-05-17,249.70666666666668
C:\Users\marius\Desktop\Musik\BBoomer\Nena - Leuchtturm.mp3,Leuchtturm,Nena,99 Luftballons,,2007,194.4
C:\Users\marius\Desktop\Musik\BBoomer\Nena - Nur geträumt.mp3,Nur geträumt,Nena,Die Band,Pop,1991-09-09,220.17333333333335
C:\Users\marius\Desktop\Musik\BBoomer\Nina Hagen - Du hast den Farbfilm vergessen.mp3,Du hast den Farbfilm vergessen,Nina Hagen,Good Bye DDR - Ost Rock,Pop,2003-10-12,182.07665
C:\Users\marius\Desktop\Musik\BBoomer\Oliver Frank - Italienische Sehnsucht.mp3,Italienische Sehnsucht,Oliver Frank,Mitten ins Herz Vol.1,Поп,2011-01-07,235.04979591836735
C:\Users\marius\Desktop\Musik\BBoomer\On The 6 CD 1 TRACK 5 (320).mp3,Let's Get Loud,Jennifer Lopez,On The 6,Pop,1999-06-01,239.4
C:\Users\marius\Desktop\Musik\BBoomer\Peter Maffay - Und es war Sommer.mp3,Und es war Sommer,Peter Maffay,Und es war Sommer,Pop/Rock,1993-06-07,247.88
C:\Users\marius\Desktop\Musik\BBoomer\Peter Maffay - Über sieben Brücken musst du geh-'n.mp3,Über sieben Brücken musst du geh'n,Peter Maffay,Heute vor dreissig Jahren,,2001,322.50666666666666
C:\Users\marius\Desktop\Musik\BBoomer\Peter Schilling - Major Tom (...völlig losgelöst).mp3,Major Tom (...völlig losgelöst),Peter Schilling,Von Anfang An...Bis Jetzt !,Pop,1983-06-27,299.56
C:\Users\marius\Desktop\Musik\BBoomer\Phil Collins - Another Day in Paradise.mp3,Another Day in Paradise,Phil Collins,...But Seriously (Deluxe Edition),,1989,322.1333333333333
C:\Users\marius\Desktop\Musik\BBoomer\Phil Collins - Can t Stop Loving You.mp3,Can't Stop Loving You,Phil Collins,Love Songs (A Compilation Old and New),Pop,2004-09-14,258.1159183673469
C:\Users\marius\Desktop\Musik\BBoomer\Phil Collins - In The Air Tonight.mp3,In The Air Tonight,Phil Collins,Face Value (Deluxe Editon),,2016,336.4533333333333
C:\Users\marius\Desktop\Musik\BBoomer\Phil Collins - You Can-'t Hurry Love.mp3,You Can't Hurry Love,Phil Collins,The Singles (Expanded),,1982,174.08
C:\Users\marius\Desktop\Musik\BBoomer\PopArt The Hits CD 1 TRACK 1 (320).mp3,Go West (2003 Remaster),Pet Shop Boys,PopArt: The Hits,Dance,2006-09-18,304.11755102040814
C:\Users\marius\Desktop\Musik\BBoomer\Puhdys - Alt wie ein Baum.mp3,Alt wie ein Baum,Puhdys,pur,Pop & International Pop & Rock & Indie Rock/Rock Pop & Hard Rock,2006-02-10,164.09333333333333
"C:\Users\marius\Desktop\Musik\BBoomer\Puhdys - Hey, Wir Woll'n Die Eisbär'n Sehn.mp3","Hey, Wir Woll'n Die Eisbär'n Sehn",Puhdys,"Hey, Wir Woll'n Die Eisbär'n Sehn!",Rock & Rock & Roll/Rockabilly,2009-10-09,244.1926530612245
C:\Users\marius\Desktop\Musik\BBoomer\Pur - Abenteuerland.mp3,Abenteuerland,Pur,Hits Pur - 20 Jahre Eine Band (Fan Edition),,2004,280.8528117913832
C:\Users\marius\Desktop\Musik\BBoomer\PUR - Ein graues Haar.mp3,Ein graues Haar,PUR,Hits Pur - 20 Jahre Eine Band (Fan Edition),Pop,2015-05-15,230.66614512471656
C:\Users\marius\Desktop\Musik\BBoomer\PUR - Freunde.mp3,Freunde,PUR,Unendlich Mehr,Pop,2004-10-08,241.39755102040817
C:\Users\marius\Desktop\Musik\BBoomer\Pur - Funkelperlenaugen (Remastered 2002).mp3,Funkelperlenaugen (Remastered 2002),Pur,Wie im Film,Pop,2004-10-11,285.2
C:\Users\marius\Desktop\Musik\BBoomer\PUR - Hab' mich wieder mal an dir betrunken.mp3,Hab' mich wieder mal an dir betrunken,PUR,Pur,Pop,2004-10-11,275.1333333333333
C:\Users\marius\Desktop\Musik\BBoomer\Pur - Hör gut zu.mp3,Hör gut zu,Pur,Hits Pur - 20 Jahre Eine Band (Fan Edition),Pop,2015-05-15,257.8394784580499
C:\Users\marius\Desktop\Musik\BBoomer\PUR - Ich lieb' Dich.mp3,Ich lieb' Dich,PUR,Hits Pur - 20 Jahre Eine Band (Fan Edition),Pop,2015-05-15,255.05281179138322
C:\Users\marius\Desktop\Musik\BBoomer\Pur - Indianer.mp3,Indianer,Pur,Hits Pur - 20 Jahre Eine Band (Fan Edition),,2004,236.73281179138323
C:\Users\marius\Desktop\Musik\BBoomer\Pur - Lena.mp3,Lena,PUR,Nichts Ohne Grund,Pop,1991-01-01,270.49795918367346
C:\Users\marius\Desktop\Musik\BBoomer\PUR - Wenn du da bist.mp3,Wenn du da bist,PUR,Hits Pur - 20 Jahre Eine Band (Fan Edition),Pop,2015-05-15,272.0794784580499
C:\Users\marius\Desktop\Musik\BBoomer\Queen - Bohemian Rhapsody.mp3,Bohemian Rhapsody,Queen,A Night At The Opera (2011 Remaster),,2011,354.32
C:\Users\marius\Desktop\Musik\BBoomer\Queen - Don-'t Stop Me Now.mp3,Don't Stop Me Now,Queen,Jazz (2011 Remaster),,2011,209.41333333333333
C:\Users\marius\Desktop\Musik\BBoomer\Queen - Radio Ga Ga.mp3,Radio Ga Ga,Queen,The Works (2011 Remaster),,2011,348.2266666666667
C:\Users\marius\Desktop\Musik\BBoomer\Queen - Under Pressure.mp3,Under Pressure,Queen,Hot Space (Deluxe Edition 2011 Remaster),,2011,248.44
C:\Users\marius\Desktop\Musik\BBoomer\R.E.M. - Losing My Religion.mp3,Losing My Religion,R.E.M.,Out Of Time,,2016,268.4266666666667
C:\Users\marius\Desktop\Musik\BBoomer\Reamonn - Supergirl.mp3,Supergirl,Reamonn,Tuesday,,2000,246.06666666666666
C:\Users\marius\Desktop\Musik\BBoomer\Reinhard Mey - Über den Wolken.mp3,Über den Wolken,Reinhard Mey,Wie vor Jahr und Tag,Поп,2003-03-03,231.70612244897958
C:\Users\marius\Desktop\Musik\BBoomer\Rex Gildo - Fiesta Mexicana.mp3,Fiesta Mexicana,Rex Gildo,Fetenschlager,Pop,2003-05-12,185.39102040816326
C:\Users\marius\Desktop\Musik\BBoomer\Right Said Fred - You re My Mate.mp3,You're My Mate,Right Said Fred,Hits!,Pop,2010-12-06,196.1795918367347
C:\Users\marius\Desktop\Musik\BBoomer\Robbie Williams - Feel.mp3,Feel,Robbie Williams,Escapology,,2002,263.8666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Roger Whittaker - Albany (German Version).mp3,Albany (German Version),Roger Whittaker,Best Of Roger Whittaker - Ultimative Hits,Folk,2000-05-01,287.84
C:\Users\marius\Desktop\Musik\BBoomer\Scorpions - Wind Of Change.mp3,Wind Of Change,Scorpions,Crazy World,,1991,313.2266666666667
C:\Users\marius\Desktop\Musik\BBoomer\Scott McKenzie - San Francisco (Be Sure to Wear Flowers in Your Hair).mp3,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,San Francisco,,2006,178.50666666666666
C:\Users\marius\Desktop\Musik\BBoomer\Simon   Garfunkel - The Boxer.mp3,The Boxer,Simon & Garfunkel,Love Songs,Pop,2009-01-29,309.48
C:\Users\marius\Desktop\Musik\BBoomer\Simon & Garfunkel - Mrs. Robinson.mp3,Mrs. Robinson,Simon & Garfunkel,Old Friends,,2003,242.53333333333333
C:\Users\marius\Desktop\Musik\BBoomer\Simon & Garfunkel - The Sound Of Silence.mp3,The Sound Of Silence,Simon & Garfunkel,Sounds Of Silence,,2006,185.234275
C:\Users\marius\Desktop\Musik\BBoomer\Sophie Ellis-Bextor - Murder On The Dancefloor.mp3,Murder On The Dancefloor,Sophie Ellis-Bextor,Nu Pop,Pop,2006-01-01,229.57333333333332
C:\Users\marius\Desktop\Musik\BBoomer\Spider Murphy Gang - Skandal im Sperrbezirk.mp3,Skandal im Sperrbezirk,Spider Murphy Gang,Greatest Hits,Pop,2014-12-23,219.56
C:\Users\marius\Desktop\Musik\BBoomer\Talk Talk - It-'s My Life.mp3,It's My Life,Talk Talk,It's My Life,,2003,232.4
C:\Users\marius\Desktop\Musik\BBoomer\The Animals - House of the Rising Sun.mp3,House of the Rising Sun,The Animals,The Best of the Animals,,2013,269.9066666666667
C:\Users\marius\Desktop\Musik\BBoomer\The Beatles - Here Comes The Sun.mp3,Here Comes The Sun,The Beatles,Abbey Road (Remastered),,2015,185.73333333333332
C:\Users\marius\Desktop\Musik\BBoomer\The Beatles - Hey Jude.mp3,Hey Jude,The Beatles,1 (Remastered),,2015,425.6533333333333
C:\Users\marius\Desktop\Musik\BBoomer\The Beatles - Let It Be.mp3,Let It Be,The Beatles,Let It Be (Remastered),,2015,243.02666666666667
C:\Users\marius\Desktop\Musik\BBoomer\The Beatles - Yellow Submarine.mp3,Yellow Submarine,The Beatles,Yellow Submarine (Remastered),,2015,159.72
C:\Users\marius\Desktop\Musik\BBoomer\The Mamas & The Papas - California Dreamin-'.mp3,California Dreamin',The Mamas & The Papas,If You Can Believe Your Eyes & Ears,,2013,162.37333333333333
C:\Users\marius\Desktop\Musik\BBoomer\The Monkees - I-'m a Believer.mp3,I'm a Believer,The Monkees,More of The Monkees (Deluxe Edition),,2006,167.37333333333333
C:\Users\marius\Desktop\Musik\BBoomer\The Police - Every Breath You Take (Remastered 2003).mp3,Every Breath You Take,The Police,The Police,Pop,2007-01-01,254.21333333333334
C:\Users\marius\Desktop\Musik\BBoomer\The Sunny Side Of Life CD 1 TRACK 20 (320).mp3,Maria Maria (Radio Mix),"Santana, The Product G&B",The Sunny Side Of Life,Pop,2009-07-02,263.471
C:\Users\marius\Desktop\Musik\BBoomer\The Weeknd - Blinding Lights.mp3,Blinding Lights,The Weeknd,After Hours,,2019,200.04
C:\Users\marius\Desktop\Musik\BBoomer\The Weeknd - Save Your Tears.mp3,Save Your Tears,The Weeknd,After Hours,R&B,2020-03-20,215.62666666666667
C:\Users\marius\Desktop\Musik\BBoomer\Tina Turner - The Best.mp3,The Best,Tina Turner,Simply the Best,,2004,255.97387755102042
C:\Users\marius\Desktop\Musik\BBoomer\Tina Turner - What-'s Love Got to Do with It.mp3,What's Love Got to Do with It,Tina Turner,All the Best - the Hits,,2005,226.88
C:\Users\marius\Desktop\Musik\BBoomer\Toto - Africa.mp3,Africa,Toto,Toto IV,,2008,295.8933333333333
C:\Users\marius\Desktop\Musik\BBoomer\Trio_Da_Da_Da_ich_lieb_dich_nicht_du_liebst_mich_nicht_aha_aha.mp3,Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha,Trio,Triologie - The Best Of Trio,Pop,2000-02-22,200.65333333333334
C:\Users\marius\Desktop\Musik\BBoomer\Udo Jürgens - Griechischer Wein.mp3,Griechischer Wein,Udo Jürgens,Vielen Dank für die Blumen,Schlager & Volksmusik,2006-03-03,245.2
C:\Users\marius\Desktop\Musik\BBoomer\Udo Lindenberg - Mein Ding.mp3,Mein Ding,Udo Lindenberg,Stark wie Zwei,,2008,265.0383673469388
C:\Users\marius\Desktop\Musik\BBoomer\Udo Lindenberg - Reeperbahn.mp3,Reeperbahn,Udo Lindenberg,Glanzlichter,,2011-01-01,232.15020408163267
C:\Users\marius\Desktop\Musik\BBoomer\Udo_Lindenberg_Cello_feat_Clueso_MTV_Unplugged_Radio_Atmo_Version.mp3,Cello (feat. Clueso) (MTV Unplugged Radio Atmo-Version),"Udo Lindenberg, Clueso",Cello (feat. Clueso) (MTV Unplugged),Pop & Rock,2011-11-04,218.70666666666668
C:\Users\marius\Desktop\Musik\BBoomer\Uriah Heep - Lady In Black.mp3,Lady In Black,Uriah Heep,Your Turn to Remember: The Definitive Anthology 1970 - 1990,,2008,283.14666666666665
C:\Users\marius\Desktop\Musik\BBoomer\Van Halen - Jump.mp3,Jump,Van Halen,1984 (Remastered),,1984,241.59954648526076
C:\Users\marius\Desktop\Musik\BBoomer\Vicky Leandros - Ich liebe das Leben.mp3,Ich liebe das Leben,Vicky Leandros,Ich Liebe Das Leben,Pop,2000-04-25,298.85333333333335
C:\Users\marius\Desktop\Musik\BBoomer\Westernhagen - Dicke.mp3,Dicke,Westernhagen,Mit Pfefferminz Bin Ich Dein Prinz,Pop,1978-02-27,245.02857142857144
C:\Users\marius\Desktop\Musik\BBoomer\Westernhagen - Freiheit.mp3,Freiheit,Westernhagen,Westernhagen,,1987,159.0334693877551
C:\Users\marius\Desktop\Musik\BBoomer\Westernhagen - Mit 18.mp3,Mit 18,Westernhagen,Mit Pfefferminz Bin Ich Dein Prinz,Pop,1978-02-27,310.0473469387755
C:\Users\marius\Desktop\Musik\BBoomer\Westernhagen - Mit Pfefferminz bin ich dein Prinz.mp3,Mit Pfefferminz bin ich dein Prinz,Westernhagen,Mit Pfefferminz Bin Ich Dein Prinz,Pop,1978-02-27,167.02693877551022
C:\Users\marius\Desktop\Musik\BBoomer\Westernhagen - Sexy.mp3,Sexy,Westernhagen,Halleluja,Pop,1989-08-25,331.36325
C:\Users\marius\Desktop\Musik\BBoomer\Westernhagen - Willenlos.mp3,Willenlos,Westernhagen,Affentheater,Pop,1994-08-30,203.784425
C:\Users\marius\Desktop\Musik\BBoomer\Wham! - Wake Me Up Before You Go-Go.mp3,Wake Me Up Before You Go-Go,Wham!,Make It Big,,2012,231.33333333333334
C:\Users\marius\Desktop\Musik\BBoomer\Whitney Houston - I Wanna Dance with Somebody (Who Loves Me).mp3,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Masters Series - 80's Club Party,Pop,2009-12-14,289.44
C:\Users\marius\Desktop\Musik\BBoomer\Wolfgang Petry - Der Himmel brennt.mp3,Der Himmel brennt,Wolfgang Petry,40 Jahre - 40 Hits,,2003,204.64
C:\Users\marius\Desktop\Musik\BBoomer\Wolfgang Petry - Ruhrgebiet.mp3,Ruhrgebiet,Wolfgang Petry,Jede Menge,Schlager & Volksmusik,1996-10-07,180.21333333333334
C:\Users\marius\Desktop\Musik\BBoomer\Wolfgang Petry - Wahnsinn.mp3,Wahnsinn,Wolfgang Petry,Fussball Hits zur EM,Pop,2008-06-06,224.447275
C:\Users\marius\Desktop\Musik\BBoomer\Yusuf - Cat Stevens - Father And Son.mp3,Father And Son,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),,2020,221.12
C:\Users\marius\Desktop\Musik\BBoomer\Zillertaler Schürzenjager - Sierra Madre.mp3,Sierra Madre,Zillertaler Schürzenjager,Sierra Madre,,1987-09-16,216.98666666666668
C:\Users\marius\Desktop\Musik\chill\Above & Beyond - Gratitude.mp3,Gratitude,Above & Beyond/Aname/Marty Longstaff,Gratitude,Dance/Trance,2022-04-14,233.61981859410432
C:\Users\marius\Desktop\Musik\chill\Anden - Grouplove.mp3,Grouplove,Anden/Yotto,Armada Electronic Elements - Miami 2022,Dance,2022-03-11,193.6239455782313
C:\Users\marius\Desktop\Musik\chill\Anderholm - Fractures.mp3,Fractures,"Anderholm, Alexandra Pride",Fractures,Dance,2019-06-13,262.68734693877553
C:\Users\marius\Desktop\Musik\chill\Ark Patrol - Sorrow Doesn't Resurrect.mp3,Sorrow Doesn't Resurrect,Ark Patrol,Sorrow Doesn't Resurrect,Electro,2018-04-19,306.0
C:\Users\marius\Desktop\Musik\chill\ATB - Ecstasy (Morten Granau Remix).mp3,Ecstasy,ATB,Ecstasy (Morten Granau Remix),Electro,2018-12-21,350.48739229024943
C:\Users\marius\Desktop\Musik\chill\Avoure - Floyd.mp3,Floyd,Avoure,U,Dance,2018-11-29,339.94791383219956
